aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,date_id
 ,한신1,11710-69,102,0,1993,개인, , ,"112,000",4,9,2024,중개거래,서울 송파구,84.53,6,102,1,N, ,송파대로,220,0,2005011,5,11710,0.0,11710,개인,10700,가락동,2024-09-15
 ,석촌호수효성해링턴타워,11710-7855,24,3,2015,개인, , ,"26,500",6,9,2024,중개거래,서울 송파구,15.8307,16,24-3,1,N, ,석촌호수로,210,0,3123009,1,11710,0.0,11710,개인,10500,석촌동,2024-09-15
 ,가락우성2,11710-44,120,4,2000,개인, , ,"74,500",4,9,2024,중개거래,서울 송파구,46.81,6,120-4,1,N, ,중대로12길,35,0,4169461,1,11710,0.0,11710,개인,10700,가락동,2024-09-15
 ,헬리오시티,11710-8865,913,0,2018,개인, , ,"275,000",3,9,2024,중개거래,서울 송파구,110.66,3,913,1,N, ,송파대로,345,0,2005011,0,11710,,11710,개인,10700,가락동,2024-09-15
 ,위례중앙푸르지오2단지,11710-8306,896,0,2016,개인, , ,"154,000",6,9,2024,중개거래,"서울 송파구, 전남 여수시",84.8984,8,896,1,N, ,위례광장로,290,0,3000238,0,11710,0.0,11710,개인,10900,장지동,2024-09-15
 ,우성,11710-61,96,1,1986,개인, , ,"157,000",10,9,2024,중개거래,"서울 강남구, 서울 송파구",109.25,7,96-1,1,N, ,송파대로32길,8,0,4169335,1,11710,0.0,11710,개인,10700,가락동,2024-09-15
 ,송파시그니처롯데캐슬,11710-9347,697,0,2021,개인, , ,"167,000",9,9,2024,중개거래,서울 송파구,84.98,18,697,1,N, ,거마로,56,0,3123003,1,11710,0.0,11710,개인,11300,거여동,2024-09-15
 ,가락쌍용(2차),11710-42,21,6,1999,개인, , ,"119,000",1,9,2024,중개거래,서울 송파구,84.42,1,21-6,1,N, ,송이로15길,31,0,4169301,1,11710,0.0,11710,개인,10700,가락동,2024-09-15
 ,잠실올림픽공원아이파크,11710-9025,514,0,2019,개인, , ,"185,000",6,9,2024,중개거래,"서울 강남구, 서울 송파구",75.91,18,514,1,N, ,올림픽로43길,34,0,4169435,0,11710,,11710,개인,10300,풍납동,2024-09-15
 ,잠실엘스,11710-6346,19,0,2008,개인, , ,"270,000",4,9,2024,중개거래,서울 송파구,84.8,16,19,1,N, ,올림픽로,99,0,3123023,1,11710,0.0,11710,개인,10100,잠실동,2024-09-15
 ,가락(1차)쌍용아파트,11710-59,140,0,1997,개인, , ,"150,000",3,9,2024,중개거래,"경기 하남시, 서울 송파구",84.69,20,140,1,N, ,동남로,193,0,3000034,1,11710,0.0,11710,개인,10700,가락동,2024-09-15
 ,올림픽카운티,11710-192,51,4,2003,개인, , ,"62,300",7,9,2024,중개거래,서울 송파구,56.22,10,51-4,1,N, ,백제고분로,497,0,3123006,5,11710,0.0,11710,개인,11100,방이동,2024-09-15
 ,미성,11710-7,219,0,1985,개인, , ,"128,000",2,9,2024,중개거래,서울 송파구,116.97,11,219,1,N, ,풍성로,14,0,3123024,1,11710,0.0,11710,개인,10300,풍납동,2024-09-15
 ,방이금호어울림,11710-93,157,0,2001,개인, , ,"97,000",4,9,2024,중개거래,서울 송파구,84.3,2,157,1,N, ,위례성대로8길,28,0,4169459,1,11710,0.0,11710,개인,11100,방이동,2024-09-15
 ,헬리오시티,11710-8865,913,0,2018,개인, , ,"233,000",2,9,2024,중개거래,서울 송파구,84.99,5,913,1,N, ,송파대로,345,0,2005011,0,11710,,11710,개인,10700,가락동,2024-09-15
 ,한강극동,11710-17,508,0,1995,개인, , ,"87,000",7,9,2024,중개거래,서울 송파구,59.26,3,508,1,N, ,토성로,38,6,3123019,1,11710,0.0,11710,개인,10300,풍납동,2024-09-15
 ,파크리오,11710-6266,17,0,2008,개인, , ,"235,000",7,9,2024,중개거래,서울 송파구,84.79,12,17,1,N, ,올림픽로,435,0,3123023,2,11710,0.0,11710,개인,10200,신천동,2024-09-15
 ,장미1,11710-170,7,0,1979,개인, , ,"415,000",7,9,2024,중개거래,서울 송파구,182.01,11,7,1,N, ,올림픽로35길,104,0,4169554,1,11710,0.0,11710,개인,10200,신천동,2024-09-15
 ,장미1,11710-170,7,0,1979,개인, , ,"235,000",7,9,2024,중개거래,서울 송파구,82.45,10,7,1,N, ,올림픽로35길,104,0,4169554,1,11710,0.0,11710,개인,10200,신천동,2024-09-15
 ,리센츠,11710-6249,22,0,2008,개인, , ,"271,500",5,9,2024,중개거래,서울 송파구,84.99,17,22,1,N, ,올림픽로,135,0,3123023,1,11710,0.0,11710,개인,10100,잠실동,2024-09-15
 ,헬리오시티,11710-8865,913,0,2018,개인, , ,"190,000",3,9,2024,직거래, ,99.6,27,913,1,N, ,송파대로,345,0,2005011,0,11710,,11710,개인,10700,가락동,2024-09-15
 ,우성,11710-61,96,1,1986,개인, , ,"121,000",1,9,2024,중개거래,서울 송파구,58.46,5,96-1,1,N, ,송파대로32길,8,0,4169335,1,11710,0.0,11710,개인,10700,가락동,2024-09-15
 ,장미1,11710-170,7,0,1979,개인, , ,"210,000",3,9,2024,중개거래,서울 송파구,71.2,7,7,1,N, ,올림픽로35길,104,0,4169554,1,11710,0.0,11710,개인,10200,신천동,2024-09-15
 ,현대1,11740-60,470,0,1996,개인, , ,"76,000",2,9,2024,중개거래,서울 강동구,59.88,9,470,1,N, ,천호대로,1231,0,2000008,2,11740,0.0,11740,개인,10500,길동,2024-09-15
 ,강동큐브(2차),11740-3349,415,13,2013,개인, , ,"11,500",13,9,2024,중개거래,서울 강동구,12.52,13,415-13,1,N, ,진황도로,85,0,3124008,1,11740,0.0,11740,개인,10500,길동,2024-09-15
 ,암사라인,11740-96,442,0,1996,개인, , ,"84,000",6,9,2024,중개거래,서울 강동구,84.87,4,442,1,N, ,올림픽로104길,32,0,4172278,1,11740,0.0,11740,개인,10700,암사동,2024-09-15
 ,아남1,11740-25,486,0,1996,개인, , ,"100,500",10,9,2024,중개거래,서울 강동구,84.91,7,486,1,N, ,양재대로,1706,0,2000006,2,11740,0.0,11740,개인,10200,고덕동,2024-09-15
 ,대명사이버아파트,11740-168,49,8,2001,개인, , ,"59,000",3,9,2024,중개거래,서울 강동구,59.84,2,49-8,1,N, ,양재대로123길,31,0,4172240,1,11740,0.0,11740,개인,10900,천호동,2024-09-15
 ,고덕자이,11740-4799,521,0,2021,개인, , ,"133,800",4,9,2024,중개거래,서울 강동구,59.7084,10,521,1,N, ,상일로,55,0,3124004,1,11740,,11740,개인,10300,상일동,2024-09-15
