aptNm,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,ownershipGbn,sggCd,sggNm,slerGbn,umdNm,date_id
강동 밀레니얼 중흥S-클래스,개인, , ,"75,590",5,9,2024,중개거래,서울 강동구,50.4856,30,423-200,,11740,강동구,개인,천호동,2024-09-17
서울대벤처타운역 푸르지오,개인, , ,"108,023",6,9,2024,중개거래,서울 관악구,84.9828,7,316-62,,11620,관악구,개인,신림동,2024-09-17
북서울자이 폴라리스,개인, , ,"131,499",10,9,2024,직거래, ,112.9104,8,791-364,,11305,강북구,개인,미아동,2024-09-17
리버센 SK VIEW 롯데캐슬,개인, , ,"113,730",4,9,2024,중개거래,서울 중랑구,84.97,14,331-1,,11260,중랑구,개인,중화동,2024-09-17
래미안 라그란데,개인, , ,"90,582",8,9,2024,중개거래,서울 동대문구,59.98,5,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"110,652",4,9,2024,중개거래,서울 동대문구,84.99,3,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"88,736",3,9,2024,중개거래,서울 동대문구,59.95,4,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"113,684",3,9,2024,중개거래,서울 동대문구,84.97,3,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"98,450",4,9,2024,중개거래,서울 동대문구,74.99,7,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"92,100",4,9,2024,중개거래,"경기 성남시 분당구, 서울 강동구",59.95,12,257-42,,11230,동대문구,개인,이문동,2024-09-17
청량리 롯데캐슬 하이루체,개인, , ,"79,350",3,9,2024,직거래, ,59.9314,1,199,,11230,동대문구,개인,청량리동,2024-09-17
래미안 라그란데,개인, , ,"113,442",2,9,2024,중개거래,경기 성남시 중원구,84.97,5,257-42,,11230,동대문구,개인,이문동,2024-09-17
래미안 라그란데,개인, , ,"89,622",2,9,2024,중개거래,서울 동대문구,59.95,4,257-42,,11230,동대문구,개인,이문동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"184,980",12,9,2024,중개거래,경기 시흥시,101.88,41,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"142,000",6,9,2024,중개거래,"경기 성남시 중원구, 서울 강동구",84.86,14,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"182,198",9,9,2024,직거래, ,101.88,38,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"158,370",9,9,2024,중개거래,"경기 성남시 분당구, 경기 성남시 중원구",101.88,3,680-63,,11215,광진구,개인,자양동,2024-09-17
롯데캐슬 이스트폴,개인, , ,"142,000",4,9,2024,중개거래,"경기 성남시 분당구, 서울 강동구",84.86,13,680-63,,11215,광진구,개인,자양동,2024-09-17
