region_cd,sido_cd,sgg_cd,umd_cd,ri_cd,locatjumin_cd,locatjijuk_cd,locatadd_nm,locat_order,locat_rm,locathigh_cd,locallow_nm,adpt_de
1171000000,11,710,000,00,1171000000,1171000000,서울특별시 송파구,24,,1100000000,송파구,
1171010100,11,710,101,00,1171010100,1171010100,서울특별시 송파구 잠실동,1,,1171000000,잠실동,
1171010200,11,710,102,00,1171010200,1171010200,서울특별시 송파구 신천동,2,,1171000000,신천동,
1171010300,11,710,103,00,1171010300,1171010300,서울특별시 송파구 풍납동,3,,1171000000,풍납동,
1171010400,11,710,104,00,1171010400,1171010400,서울특별시 송파구 송파동,4,,1171000000,송파동,
1171010500,11,710,105,00,1171010500,1171010500,서울특별시 송파구 석촌동,5,,1171000000,석촌동,
1171010600,11,710,106,00,1171010600,1171010600,서울특별시 송파구 삼전동,6,,1171000000,삼전동,
1171010700,11,710,107,00,1171010700,1171010700,서울특별시 송파구 가락동,7,,1171000000,가락동,
1171010800,11,710,108,00,1171010800,1171010800,서울특별시 송파구 문정동,8,,1171000000,문정동,
1171010900,11,710,109,00,1171010900,1171010900,서울특별시 송파구 장지동,9,,1171000000,장지동,
1171011100,11,710,111,00,1171011100,1171011100,서울특별시 송파구 방이동,10,,1171000000,방이동,
1171011200,11,710,112,00,1171011200,1171011200,서울특별시 송파구 오금동,11,,1171000000,오금동,
1171011300,11,710,113,00,1171011300,1171011300,서울특별시 송파구 거여동,12,,1171000000,거여동,
1171011400,11,710,114,00,1171011400,1171011400,서울특별시 송파구 마천동,13,,1171000000,마천동,
1174000000,11,740,000,00,1174000000,1174000000,서울특별시 강동구,25,,1100000000,강동구,
1174010100,11,740,101,00,1174010100,1174010100,서울특별시 강동구 명일동,2,,1174000000,명일동,
1174010200,11,740,102,00,1174010200,1174010200,서울특별시 강동구 고덕동,3,,1174000000,고덕동,
1174010300,11,740,103,00,1174010300,1174010300,서울특별시 강동구 상일동,4,,1174000000,상일동,
1174010500,11,740,105,00,1174010500,1174010500,서울특별시 강동구 길동,6,,1174000000,길동,
1174010600,11,740,106,00,1174010600,1174010600,서울특별시 강동구 둔촌동,7,,1174000000,둔촌동,
1174010700,11,740,107,00,1174010700,1174010700,서울특별시 강동구 암사동,8,,1174000000,암사동,
1174010800,11,740,108,00,1174010800,1174010800,서울특별시 강동구 성내동,9,,1174000000,성내동,
1174010900,11,740,109,00,1174010900,1174010900,서울특별시 강동구 천호동,10,,1174000000,천호동,
1174011000,11,740,110,00,1174011000,1174011000,서울특별시 강동구 강일동,1,,1174000000,강일동,20061229
1165010200,11,650,102,00,1165010200,1165010200,서울특별시 서초구 양재동,2,,1165000000,양재동,
1165010300,11,650,103,00,1165010300,1165010300,서울특별시 서초구 우면동,3,,1165000000,우면동,
