아파트명,건축년도,전용면적,거래금액,층,동,거래유형,계약년도,계약월,계약일,계약해지여부,계약해지사유발생일,등기일자,권리구분,매수자,매도자,중개사소재지,시군구코드,법정동,거래구분,date_id
헬리오시티,2018.0,84.98,"228,000",10,,중개거래,2024,9,3,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21
한신1,1993.0,84.53,"112,000",6,,중개거래,2024,9,4,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21
석촌호수효성해링턴타워,2015.0,15.8307,"26,500",16,,중개거래,2024,9,6,,,,,개인,개인,서울 송파구,송파구,석촌동,실거래,2024-09-21
가락우성2,2000.0,46.81,"74,500",6,,중개거래,2024,9,4,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21
헬리오시티,2018.0,110.66,"275,000",3,,중개거래,2024,9,3,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21
위례중앙푸르지오2단지,2016.0,84.8984,"154,000",8,,중개거래,2024,9,6,,,,,개인,개인,"서울 송파구, 전남 여수시",송파구,장지동,실거래,2024-09-21
우성,1986.0,109.25,"157,000",7,,중개거래,2024,9,10,,,,,개인,개인,"서울 강남구, 서울 송파구",송파구,가락동,실거래,2024-09-21
송파시그니처롯데캐슬,2021.0,84.98,"167,000",18,,중개거래,2024,9,9,,,,,개인,개인,서울 송파구,송파구,거여동,실거래,2024-09-21
가락쌍용(2차),1999.0,84.42,"119,000",1,,중개거래,2024,9,1,,,,,개인,개인,서울 송파구,송파구,가락동,실거래,2024-09-21
잠실올림픽공원아이파크,2019.0,75.91,"185,000",18,,중개거래,2024,9,6,,,,,개인,개인,"서울 강남구, 서울 송파구",송파구,풍납동,실거래,2024-09-21
잠실엘스,2008.0,84.8,"270,000",16,,중개거래,2024,9,4,,,,,개인,개인,서울 송파구,송파구,잠실동,실거래,2024-09-21
가락(1차)쌍용아파트,1997.0,84.69,"150,000",20,,중개거래,2024,9,3,,,,,개인,개인,"경기 하남시, 서울 송파구",송파구,가락동,실거래,2024-09-21
